timestamp,longitude,latitude,type
152145601402,77.66010183,12.84510153,pothole
152145601958,77.65707054,12.85010198,pothole
152145602495,77.65674399,12.85021479,pothole
152145603280,77.65647589,12.85028149,pothole
152145605389,77.65592851,12.85030874,pothole
152145608708,77.65517123,12.84979936,others
152145610733,77.6550936,12.84914633,others
152145610961,77.65509396,12.84907198,pothole
152145611534,77.65507629,12.84884435,pothole
152145612045,77.65506546,12.84864252,pothole
152145613086,77.65508466,12.84832968,pothole
152145613548,77.65508936,12.84814733,pothole
152145616025,77.65418787,12.8478615,pothole
152145616363,77.65411565,12.84787541,pothole
152145616483,77.65408181,12.84787246,pothole
152145616785,77.65401104,12.84789613,others
