timestamp,longitude,latitude,type
152145410717,77.65198831,12.84053987,pothole
152145410998,77.65192409,12.84054933,pothole
152145412263,77.65142022,12.84065193,pothole
152145412507,77.6513565,12.84066208,pothole
152145412840,77.65126079,12.84066366,pothole
152145414588,77.65067257,12.84076737,pothole
152145414983,77.6506102,12.84078384,pothole
152145416331,77.65024001,12.84090107,pothole
152145418559,77.64932236,12.84113769,pothole
152145419617,77.64890647,12.84121368,pothole
152145420108,77.64878844,12.84124684,pothole
152145420365,77.64874201,12.84126892,pothole
152145423066,77.6477594,12.84154834,others
152145423790,77.64751761,12.84161479,pothole
152145425529,77.64678247,12.84176025,pothole
152145426432,77.6464161,12.8418615,pothole
152145429225,77.64542,12.84187329,pothole
152145429453,77.64538458,12.84185063,pothole
