timestamp,accx,accy,accz,gyrx,gyry,gyrz,latitude,longitude,speed
152281949738,-0.55992126,-0.83982086,10.07078,0.0041275024,0.042903136,0.0037612915,12.87808976,77.64614212,0.0
152281949758,-0.41970214,-1.4038101,9.764379,-0.0070724487,0.010627747,3.8757324E-4,12.8780906,77.64614171,0.0
152281949779,-0.40701905,-1.4107482,9.790579,0.00209198,0.0020828247,-8.3007815E-4,12.8780906,77.64614171,0.0
152281949802,-0.45535737,-1.4017731,9.762583,0.003315735,-0.0046325685,2.2888184E-5,12.8780906,77.64614171,0.0
152281949822,-0.39661255,-1.3743789,9.764017,0.012107849,-0.0045135496,0.0024642944,12.8780906,77.64614171,0.0
152281949843,-0.35724944,-1.3928009,9.819532,9.918213E-4,-0.005123901,0.004663086,12.8780906,77.64614171,0.0
152281949864,-0.41838533,-1.3482926,9.777057,-0.003036499,0.012709046,0.0018585206,12.87808921,77.6461393,0.0
152281949885,-0.23031159,-1.4254653,9.8131895,0.0052703856,-0.013183594,-0.016223144,12.87808921,77.6461393,0.0
152281949907,-0.19429627,-1.3665985,9.764496,0.013211059,-0.052635193,-0.08940582,12.87808921,77.6461393,0.0
152281949928,-0.20363006,-1.2553345,9.752295,0.0074691772,-0.081832886,-0.12434693,12.87808921,77.6461393,0.0
152281949950,-0.1927414,-1.4503479,9.759112,-0.0032821656,-0.09160767,-0.08488464,12.87808921,77.6461393,0.0
152281949970,0.24071655,-1.4703262,9.929959,7.4768066E-4,-0.08024292,-0.02746277,12.87808854,77.6461378,0.0
152281949992,0.6223694,-1.0631897,9.672972,-7.141113E-4,0.013198853,0.036901854,12.87808854,77.6461378,0.0
152281950013,0.302092,-1.3387238,9.820009,-2.3040772E-4,0.033477783,-0.009384155,12.87808854,77.6461378,0.0
152281950034,0.05228119,-1.3036697,9.757677,0.0035583496,0.0036758422,-0.005227661,12.87808854,77.6461378,0.0
152281950055,0.31537017,-1.2751954,9.946829,0.0023376464,-0.068640135,-0.004986572,12.8780881,77.64613704,0.0
152281950077,0.4730606,-1.3309479,9.447088,-0.005116272,0.007827759,0.004544067,12.8780881,77.64613704,0.0
152281950098,0.0634079,-1.4480759,9.51947,-0.0025497437,0.07868042,0.0068588257,12.8780881,77.64613704,0.0
152281950119,0.15780488,-1.1841491,10.087769,0.0034378052,0.046798706,0.0039367676,12.8780881,77.64613704,0.0
152281950140,0.0128005985,-0.67148435,9.56649,0.020663451,0.021868896,-0.010484314,12.8780881,77.64613704,0.0
152281950162,0.03816681,-0.5518402,9.599871,0.021154786,0.051553346,-0.016226197,12.87808769,77.64613672,0.0
152281950183,-0.28379363,-0.23850402,9.609441,0.014434814,0.10971069,-0.010848999,12.87808769,77.64613672,0.0
152281950204,-0.17288208,-0.14147644,10.050919,0.008569336,0.11606598,-0.027827453,12.87808769,77.64613672,0.0
152281950225,-0.16402741,-0.37633055,10.021845,0.010527039,0.0554718,-0.1396164,12.87808769,77.64613672,0.0
152281950247,-0.26333314,-0.5042297,9.502243,0.037887573,-0.054225158,-0.24651948,12.87808769,77.64613672,0.0
152281950268,-0.5743988,-0.40384674,10.308624,0.03177948,-0.05923309,-0.22025147,12.87808747,77.64613623,0.0
152281950289,-0.74189603,0.09206543,9.583598,0.010522461,-0.02331543,-0.028442383,12.87808747,77.64613623,0.0
152281950310,-0.47425842,-0.5164307,9.822281,0.015289307,5.0354004E-4,0.018836975,12.87808747,77.64613623,0.0
152281950332,-0.3962555,-0.19615173,9.729083,0.008323669,-0.020509338,-0.0058410643,12.87808747,77.64613623,0.0
152281950353,-0.65444183,-0.041215517,9.822401,0.004295349,0.0040390017,0.089559935,12.87808702,77.64613583,0.0
152281950374,-0.53097075,-0.121614076,9.79967,-0.010604858,0.05155792,0.10568543,12.87808702,77.64613583,0.0
152281950395,0.33774415,-0.275354,9.465752,-0.008283997,0.0024490356,-0.06387176,12.87808702,77.64613583,0.0
152281950417,-0.6167542,-0.17019042,9.897059,-0.0031570434,-0.032356262,-0.060942076,12.87808702,77.64613583,0.0
152281950438,-0.6105301,-1.713321,10.015625,-0.05006256,0.0205307,0.048754882,12.87808702,77.64613583,0.0
152281950459,-0.2859436,-1.6703705,9.807566,0.0072219847,0.038856506,0.0035629272,12.87808697,77.64613597,0.0
152281950480,0.0805191,-2.0273805,6.9452744,-0.15904236,-0.004022217,-0.06582336,12.87808697,77.64613597,0.0
152281950502,-0.2269638,-1.4510666,12.421488,0.17240295,-0.04873047,-0.1895874,12.87808697,77.64613597,0.0
152281950523,-0.6973877,-1.5614974,8.941007,0.009916687,-0.112501524,-0.07596588,12.87808697,77.64613597,0.0
152281950544,-0.6452271,-2.1155548,10.404215,0.0921402,-0.04359894,0.07758789,12.87808697,77.64613597,0.0
152281950565,-0.44147795,0.15858611,9.4569,-0.14706421,0.017967224,0.20427856,12.87809395,77.64611936,2.34
152281950587,-0.041156005,-0.48460692,9.632296,0.14759979,0.057180785,0.20440368,12.87809395,77.64611936,2.34
152281950608,0.04402771,-0.24831542,10.049123,-0.090379335,0.020040894,0.029824829,12.87809395,77.64611936,2.34
152281950630,-0.2349762,-0.3019165,9.415861,0.015045166,-0.02393036,-0.01916046,12.87809395,77.64611936,2.34
