timestamp,longitude,latitude,type
152282028186,77.64085028,12.88198358,pothole
152282028378,77.64086821,12.88195441,pothole
152282029213,77.6409519,12.8817678,pothole
152282030430,77.64122797,12.88133902,pothole
152282032678,77.64135982,12.88062414,pothole
152282032842,77.64130931,12.88060854,pothole
152282034546,77.64042974,12.88032442,pothole
152282034990,77.64027083,12.88021884,others
152282035141,77.64025957,12.88019439,pothole
152282035673,77.64031921,12.88004265,others
152282037034,77.64024364,12.87975567,others
152282037343,77.64012963,12.87969795,pothole
152282038962,77.63930021,12.87937469,others
152282040966,77.63832109,12.87901178,pothole
152282041402,77.63817173,12.87896443,others
152282042615,77.6378038,12.87881383,pothole
152282044261,77.63829784,12.87811918,others
152282046816,77.63924219,12.87685101,pothole
152282058255,77.64452534,12.87383363,pothole
152282058864,77.64470912,12.87384703,others
152282059380,77.64485866,12.87385637,others
152282059597,77.64490821,12.87386323,others
