timestamp,longitude,latitude,type
152282859103,77.64311909,12.89030517,pothole
152282859231,77.64307699,12.89029724,pothole
152282860921,77.64212911,12.88998136,others
152282863208,77.64037259,12.88928371,pothole
152282876507,77.64491531,12.88140563,others
152282877716,77.64523552,12.8808969,others
152282887682,77.64915901,12.87520543,others
152282888644,77.64949309,12.87494057,others
152282892626,77.65109411,12.87300583,others
152282893356,77.65132734,12.87274601,others
152282898482,77.65372001,12.87036317,others
152282904662,77.65597142,12.87054235,others
152282904738,77.6559531,12.87054311,others
152282904808,77.6559531,12.87054311,others
152282904889,77.65593585,12.87054432,others
152282908228,77.65436389,12.87058527,others
152282908755,77.65424007,12.87055142,others
152282978724,77.67593323,12.84092007,others
152282981506,77.67467888,12.8425731,others
152282983377,77.67403836,12.84326286,pothole
