timestamp,longitude,latitude,type
152282718410,77.62125297,12.92790836,pothole
152282735664,77.61853844,12.92420793,pothole
152282736102,77.61867738,12.92394947,others
152282736518,77.61880005,12.92373385,others
152282736847,77.61888534,12.92358828,pothole
152282747992,77.62152939,12.91925024,pothole
152282748912,77.62194349,12.91870091,others
152282754708,77.62406607,12.91511654,others
152282767403,77.6288924,12.90739662,pothole
152282767986,77.62895999,12.90727366,pothole
152282783846,77.63434254,12.89859255,others
152282784603,77.6344911,12.89832406,others
152282792247,77.6373173,12.89446085,others
152282792629,77.63743928,12.89449955,pothole
152282792784,77.63746753,12.89450972,others
152282792978,77.63749756,12.89452181,pothole
152282794177,77.6379264,12.89481731,pothole
152282795614,77.63821824,12.89527657,pothole
152282796915,77.63851116,12.89554437,others
152282797475,77.63853031,12.89569338,pothole
152282797625,77.63853817,12.89575431,others
152282798630,77.63859792,12.89614792,pothole
152282801914,77.63912069,12.89737081,others
152282803294,77.63910006,12.89788586,pothole
152282803799,77.63911128,12.89806454,pothole
152282806282,77.63913199,12.89897197,pothole
152282810291,77.6391379,12.89890391,pothole
152282810960,77.63912402,12.89859058,pothole
152282812720,77.63917821,12.89791782,pothole
152282813626,77.63916183,12.89764871,pothole
152282814273,77.63917934,12.89747923,others
152282815363,77.63905717,12.89693984,pothole
152282815662,77.63898249,12.89683855,pothole
152282817510,77.63864307,12.89592932,pothole
152282817800,77.63863149,12.8958017,others
152282818442,77.63858971,12.89555268,others
152282818822,77.63855304,12.8954031,pothole
152282819708,77.63835305,12.89531794,pothole
152282821736,77.63758709,12.89449591,pothole
152282821903,77.63751709,12.89447088,pothole
152282822196,77.6373832,12.89444034,others
152282822888,77.63703332,12.89435158,pothole
152282830151,77.63895308,12.89098552,others
152282835964,77.64020279,12.88933247,others
152282836381,77.64035401,12.88938245,pothole
152282836588,77.64038904,12.8893911,pothole
152282837567,77.64100306,12.88962283,others
152282838310,77.64119301,12.8896752,others
152282844338,77.64359332,12.89059022,pothole
152282844956,77.64372313,12.89062224,pothole
