timestamp,longitude,latitude,type
152179140565,77.64634844,12.87808208,pothole
152179140837,77.64630225,12.87808585,pothole
152179141249,77.64616653,12.8781209,pothole
152179141860,77.645934,12.87818038,pothole
152179142500,77.64570296,12.8782189,pothole
152179142690,77.64562769,12.87823577,pothole
152179142961,77.6455191,12.87825785,pothole
152179143321,77.64540478,12.87829298,pothole
152179145063,77.64458218,12.87856339,pothole
152179145631,77.64435095,12.87867842,others
152179146088,77.64409739,12.87882246,pothole
152179146637,77.64391435,12.87897929,pothole
152179147257,77.64374137,12.87910468,pothole
152179148155,77.64338297,12.87929747,pothole
152179148230,77.64334245,12.87931617,pothole
152179150167,77.64246374,12.87981574,others
152179151181,77.64225396,12.88043518,pothole
152179151747,77.6420882,12.88075637,others
152179152473,77.64190179,12.88109585,pothole
152179152798,77.64181766,12.88121303,others
152179153221,77.64170667,12.88138258,pothole
152179153695,77.641626,12.88151902,others
152179154779,77.64135358,12.88202439,others
152179155436,77.64118667,12.88227185,others
152179155994,77.6410647,12.88246664,pothole
152179158272,77.64061716,12.88355834,others
152179158442,77.64060249,12.88364465,others
152179158703,77.6405875,12.88371763,others
152179159455,77.64055419,12.88391824,pothole
152179159608,77.64056265,12.88393414,pothole
152179160056,77.64061669,12.88401212,pothole
152179160601,77.64072458,12.88408108,others
152179160761,77.64077924,12.8841008,others
152179163831,77.64189316,12.884517,others
152179164252,77.6420488,12.88459877,others
152179164886,77.64225983,12.88469589,pothole
152179165144,77.64231818,12.88476766,pothole
