timestamp,longitude,latitude,type
152179081766,77.64198749,12.88452582,pothole
152179084074,77.64085653,12.88406628,others
152179084656,77.64064584,12.8839953,pothole
152179084973,77.64059115,12.88395515,pothole
152179085541,77.64060652,12.88380127,others
152179085970,77.64063427,12.88362773,others
152179087901,77.64105172,12.88247819,others
152179093117,77.6427645,12.87966306,others
152179093879,77.64310697,12.879474,pothole
152179094866,77.64354732,12.87922593,pothole
152179095259,77.64371902,12.87915236,pothole
152179096164,77.6440038,12.87892433,pothole
152179097072,77.64435561,12.87871654,pothole
152179099166,77.64537992,12.87834503,pothole
152179100823,77.64583541,12.8781786,pothole
152179101318,77.6459901,12.87814853,pothole
