timestamp,longitude,latitude,type
152179000826,77.64614973,12.87813439,pothole
152179001434,77.6459193,12.87821322,pothole
152179002071,77.64569776,12.87827621,pothole
152179002271,77.64562511,12.87829352,pothole
152179002932,77.64540342,12.87832982,pothole
152179004857,77.64458198,12.87857631,others
152179006614,77.64391553,12.87897244,pothole
152179007157,77.64372307,12.87909017,others
152179007592,77.64359296,12.87916801,pothole
152179008207,77.64339224,12.87928266,pothole
152179008283,77.64335893,12.87930073,pothole
152179008902,77.6431279,12.8794143,others
152179010394,77.64246498,12.87984153,others
152179011304,77.64232393,12.88023054,others
152179011811,77.6422049,12.88037208,others
152179013208,77.64214047,12.88042596,pothole
152179014212,77.6420819,12.88077353,others
152179015007,77.64189524,12.88110895,pothole
152179015376,77.64179691,12.88123572,others
152179015812,77.64171338,12.8813727,pothole
152179017408,77.64131948,12.88199316,others
152179020706,77.6407291,12.88214639,pothole
152179021014,77.64079351,12.88205351,pothole
152179021205,77.6408339,12.88199351,pothole
152179021367,77.64086757,12.88193531,pothole
152179022321,77.64104732,12.8816705,pothole
152179023447,77.6412665,12.88125753,pothole
152179023593,77.64128534,12.88122895,pothole
152179025486,77.64149208,12.88064624,others
152179027030,77.64085092,12.88042525,others
152179027968,77.6404161,12.88026464,pothole
152179028351,77.64028385,12.8802144,others
152179029304,77.64037602,12.87993463,pothole
