timestamp,longitude,latitude,type
152179061709,77.64151999,12.88086787,others
152179062054,77.64146551,12.88100289,pothole
152179062409,77.64139755,12.88110611,others
152179063400,77.64109664,12.88155929,pothole
152179063970,77.64091721,12.88185861,others
152179064377,77.64076675,12.88202646,pothole
152179066115,77.64094262,12.8824656,pothole
152179068576,77.64059566,12.88362903,others
152179068847,77.64056679,12.88373411,others
152179069486,77.64054716,12.88393296,pothole
152179069657,77.64056461,12.88397224,pothole
152179070109,77.64060634,12.88402994,pothole
152179070760,77.64078419,12.88407213,others
152179071501,77.64109624,12.88413888,pothole
152179073786,77.64201373,12.88457747,pothole
152179074056,77.6420981,12.88461241,pothole
