timestamp,accx,accy,accz,gyrx,gyry,gyrz,longitude,latitude,speed
152145513553,-0.4494919,-0.35943756,9.746483,1.373291E-4,-0.0015899658,-2.5024413E-4,77.65358914,12.83993294,0.0
152145513575,-0.4366867,-0.34818727,9.767553,3.0059816E-4,0.0012298584,2.2888184E-4,77.65358914,12.83993294,0.0
152145513597,-0.46577302,-0.3254425,9.736547,-4.4555665E-4,-0.007559204,-0.002380371,77.65358914,12.83993294,0.0
152145513619,-0.39143372,-0.3802719,9.77605,0.0016860962,-0.004736328,-7.8277587E-4,77.65358914,12.83993294,0.0
152145513641,-0.43572694,-0.3964325,9.731878,0.0017913819,0.01342926,6.5612793E-4,77.65359147,12.83992586,0.0
152145513663,-0.4809784,-0.3419632,9.754263,4.6081544E-4,0.01257782,0.0016159058,77.65359147,12.83992586,0.0
152145513685,-0.48684233,-0.36495057,9.729126,0.0018920898,-0.003616333,-0.0012619018,77.65359147,12.83992586,0.0
152145513707,-0.48492736,-0.34088287,9.801074,1.4038086E-4,0.0034683228,2.8381348E-4,77.65359147,12.83992586,0.0
152145513729,-0.5047989,-0.35057983,9.80406,0.0011520386,-0.0042007444,-0.004298401,77.65359147,12.83992586,0.0
152145513751,-0.50132596,-0.3532135,9.80598,3.0517578E-5,-0.00559082,2.2888184E-4,77.65359586,12.83991816,0.0
152145513773,-0.4840912,-0.3503418,9.825373,0.0013122559,-0.008039856,-0.001210022,77.65359586,12.83991816,0.0
152145513795,-0.4348877,-0.32891542,9.800473,7.797241E-4,-0.016564941,-5.187988E-4,77.65359586,12.83991816,0.0
152145513817,-0.45739442,0.23779449,9.793051,0.010635376,-0.022479247,2.822876E-4,77.65359586,12.83991816,0.0
152145513839,-0.39215088,0.23827668,9.717394,0.0062698363,-0.017414857,-3.5705566E-4,77.65359801,12.83991089,0.0
152145513861,-0.36473846,0.468956,9.797236,1.9073486E-4,-0.011074829,-0.0071777343,77.65359801,12.83991089,0.0
152145513883,-0.33899993,0.7846314,9.830518,0.0064819334,-0.0032455444,-0.021557618,77.65359801,12.83991089,0.0
152145513905,-0.32044524,0.84950864,9.792093,0.0028564453,0.0073043825,-0.02331543,77.65359801,12.83991089,0.0
152145513927,-0.15488282,0.93426514,9.835428,0.012286377,0.01305542,-0.068696596,77.65359801,12.83991089,0.0
152145513949,-0.040919494,0.92013705,9.756895,0.012820435,-0.006922913,-0.1375122,77.65360193,12.83990621,0.53
152145513971,-0.189357,1.2773559,9.853144,0.02576599,-0.029881287,-0.190242,77.65360193,12.83990621,0.53
152145513993,-0.49941102,1.4822998,9.923294,0.02155609,-0.018374633,-0.11413117,77.65360193,12.83990621,0.53
152145514015,-0.031341553,1.3422425,9.919943,0.022781372,-0.03765564,-0.10400848,77.65360193,12.83990621,0.53
152145514037,-0.2648987,1.4022156,9.514486,0.021713257,-0.067855835,-0.08424988,77.65360193,12.83990621,0.53
